url_length,domain_length,dot_count,hyphen_count,at_symbol,has_ip,https,digit_count,suspicious_words,subdomain_count,label
74,34,5,6,1,0,0,7,2,6,1
108,31,7,1,0,1,0,6,5,2,1
68,38,5,6,0,1,1,14,2,6,1
83,59,7,4,0,1,1,15,3,4,1
95,51,6,1,0,0,1,15,3,3,1
71,51,3,4,0,1,0,6,5,6,1
73,58,3,4,0,0,0,5,3,5,1
76,51,8,5,1,1,1,11,5,2,1
64,41,3,3,1,0,0,15,5,2,1
81,30,6,6,1,0,1,9,1,2,1
120,31,4,3,1,1,0,19,2,6,1
104,45,4,6,0,1,0,20,4,5,1
89,51,8,5,1,1,0,20,3,2,1
107,52,5,1,1,0,1,7,5,3,1
65,56,4,1,1,1,0,9,5,5,1
99,52,7,4,0,1,0,5,1,6,1
90,38,4,3,0,0,1,9,4,4,1
94,43,8,4,1,1,1,9,3,3,1
118,46,3,4,0,0,1,17,4,4,1
116,46,3,6,0,1,1,17,1,5,1
68,42,8,1,1,1,1,17,1,5,1
85,42,5,4,0,1,0,20,5,3,1
91,45,7,3,0,0,0,17,2,4,1
90,55,8,3,0,0,1,10,4,2,1
111,36,6,1,0,1,0,17,4,4,1
92,44,6,4,0,0,0,20,5,5,1
105,46,4,4,1,1,1,8,2,4,1
83,53,6,1,1,0,1,8,5,4,1
79,44,5,6,1,1,1,16,3,6,1
79,54,6,4,1,0,1,6,1,2,1
99,40,8,3,0,1,1,17,3,6,1
101,47,6,4,0,0,1,17,3,3,1
60,31,3,6,1,0,0,7,2,3,1
105,50,8,5,1,1,1,16,1,3,1
118,57,3,4,1,0,0,18,4,6,1
102,46,6,1,0,0,1,17,1,3,1
81,59,5,6,1,1,1,9,3,2,1
109,48,4,2,1,0,1,15,2,4,1
114,38,7,4,0,1,0,5,5,6,1
96,58,3,3,0,1,0,18,4,5,1
80,58,5,6,0,0,1,5,5,3,1
119,43,3,3,1,1,0,19,3,3,1
64,36,6,4,0,0,0,16,5,4,1
95,52,3,6,1,1,0,18,2,6,1
97,44,3,2,1,0,0,15,3,6,1
107,60,6,3,1,0,0,13,3,3,1
74,45,3,3,1,1,1,5,5,6,1
89,49,4,6,0,1,0,17,5,3,1
67,46,6,5,0,0,1,17,1,3,1
93,37,4,6,1,0,0,13,5,4,1
120,44,8,2,1,1,1,18,4,6,1
81,54,5,6,0,0,0,11,4,2,1
107,44,4,1,0,0,1,5,4,6,1
89,60,8,4,1,0,1,13,5,4,1
117,49,7,3,1,1,0,14,2,3,1
60,32,7,5,0,1,1,19,1,2,1
94,46,3,4,0,1,0,11,4,6,1
66,48,5,3,0,0,0,14,5,4,1
69,35,5,2,1,0,0,14,5,3,1
85,55,4,4,0,1,1,9,2,3,1
85,53,7,3,1,1,1,15,5,4,1
98,42,5,4,1,1,1,14,1,4,1
67,45,6,5,1,1,1,14,4,3,1
97,32,3,1,1,0,0,7,3,4,1
102,41,5,2,1,0,1,14,4,6,1
92,30,3,1,1,1,0,13,5,6,1
82,32,7,3,1,0,0,17,4,2,1
65,47,7,2,0,1,1,20,4,3,1
74,48,4,3,1,1,0,12,2,5,1
84,53,8,4,0,0,0,15,2,5,1
114,45,5,2,1,0,1,18,5,4,1
75,54,7,5,0,1,1,13,2,4,1
115,49,7,2,0,1,0,11,2,6,1
117,42,8,5,0,1,0,10,4,6,1
79,31,8,4,1,0,0,16,5,5,1
69,37,6,3,1,0,1,15,1,6,1
82,53,6,2,0,1,0,12,4,2,1
119,60,8,4,0,1,0,12,5,2,1
117,59,7,1,0,0,1,18,3,4,1
105,34,4,6,0,0,0,19,5,2,1
109,43,6,4,1,0,0,8,1,2,1
107,58,5,3,0,0,1,11,1,5,1
85,56,3,3,1,0,1,16,5,3,1
82,45,3,2,1,0,1,17,2,4,1
66,40,3,6,1,1,0,10,3,6,1
62,41,7,6,1,0,1,12,1,3,1
86,37,8,2,1,1,1,8,2,5,1
64,57,4,4,0,1,1,15,5,5,1
64,35,4,3,0,0,1,14,4,4,1
120,41,6,2,1,1,1,13,5,3,1
81,52,7,2,1,0,0,12,4,3,1
79,52,4,4,1,0,1,17,4,3,1
98,56,6,3,1,0,1,20,4,2,1
64,41,7,6,0,0,0,10,4,6,1
60,58,5,3,0,1,1,9,5,5,1
60,48,8,2,0,1,0,19,1,3,1
79,43,6,5,0,0,1,5,4,4,1
103,55,6,4,0,1,0,5,4,4,1
109,57,6,4,1,0,0,6,4,4,1
69,41,6,4,1,1,1,18,3,6,1
117,49,4,6,1,1,0,13,5,3,1
69,55,6,3,1,1,1,6,3,6,1
115,57,8,2,1,0,0,11,4,2,1
87,52,3,4,0,1,0,18,2,2,1
60,43,5,6,0,0,0,6,3,2,1
116,31,7,2,1,1,0,16,1,5,1
117,51,6,4,1,1,1,11,3,5,1
73,30,3,6,1,0,1,11,1,3,1
102,35,7,6,0,0,1,15,5,4,1
120,41,4,2,1,1,0,14,2,2,1
114,34,7,6,0,1,0,19,4,3,1
116,34,7,3,0,0,1,16,1,3,1
82,40,6,4,1,0,0,12,2,2,1
110,40,7,3,0,0,1,10,4,3,1
92,40,8,1,1,0,0,10,4,6,1
107,37,4,2,0,1,1,20,3,4,1
76,31,8,5,0,0,0,12,2,2,1
113,45,6,6,1,0,1,15,5,5,1
78,48,5,3,1,1,1,6,5,6,1
73,55,5,1,1,0,0,20,2,3,1
105,60,5,4,1,0,1,18,1,6,1
111,39,5,3,1,1,0,17,2,5,1
82,49,6,4,1,1,1,18,5,3,1
62,43,8,1,1,0,1,19,5,5,1
99,39,6,4,1,0,0,6,3,6,1
88,41,4,4,0,1,1,19,2,2,1
85,40,6,2,0,0,0,16,2,5,1
113,52,6,3,0,1,1,6,4,5,1
107,38,3,2,0,1,1,20,3,5,1
84,36,8,3,1,0,1,13,3,4,1
71,33,8,2,0,0,0,10,3,5,1
73,56,5,1,0,1,1,9,5,4,1
67,46,6,4,0,1,0,17,1,6,1
99,43,8,6,0,1,1,8,3,3,1
104,37,6,1,1,0,0,5,4,4,1
75,50,8,1,0,0,0,15,1,2,1
96,32,4,1,1,0,0,7,4,2,1
97,30,8,4,0,0,1,8,4,2,1
81,34,8,2,1,1,1,16,3,6,1
83,44,5,4,0,0,0,13,2,2,1
114,54,5,2,1,1,0,14,3,4,1
120,31,7,2,0,1,1,10,1,4,1
100,51,8,2,1,0,0,13,5,4,1
91,43,4,3,0,1,0,15,1,4,1
100,46,8,5,0,1,0,14,2,5,1
100,40,3,5,0,1,1,16,1,4,1
67,46,4,2,1,1,1,12,4,2,1
117,60,8,2,1,1,0,11,3,3,1
70,31,8,4,1,1,0,7,1,5,1
118,42,8,1,1,1,0,17,4,3,1
72,58,4,2,0,0,1,19,1,3,1
61,32,8,6,0,1,1,8,4,6,1
94,46,8,1,0,0,1,10,1,4,1
61,35,8,2,0,0,0,17,1,4,1
106,55,5,4,0,0,1,19,3,5,1
84,44,6,1,0,0,0,5,2,4,1
87,37,7,6,1,1,0,19,1,6,1
68,60,7,1,0,0,0,8,4,6,1
70,33,8,6,0,1,1,11,2,2,1
89,36,4,3,0,0,1,15,4,6,1
107,32,5,4,1,1,0,11,1,6,1
120,34,8,3,1,0,1,13,1,2,1
99,35,6,6,0,1,0,8,3,2,1
101,48,6,3,0,1,0,15,4,5,1
80,47,4,6,0,0,1,8,5,5,1
79,42,3,3,0,0,0,6,3,2,1
116,42,7,5,0,1,0,8,5,4,1
75,46,6,5,1,0,0,10,3,5,1
113,36,4,5,0,1,1,16,3,6,1
117,31,6,5,1,1,0,19,4,4,1
62,34,4,1,0,1,1,13,4,4,1
89,49,7,2,1,1,0,11,3,2,1
110,41,4,5,1,1,1,6,2,4,1
101,38,5,6,1,1,1,12,5,4,1
115,45,5,6,1,1,1,17,5,3,1
102,50,6,6,1,0,1,18,1,6,1
69,55,7,2,0,1,1,15,1,5,1
72,34,5,4,0,1,1,16,5,5,1
75,49,5,4,1,1,1,19,2,6,1
116,59,5,1,0,0,1,8,5,3,1
71,55,3,1,0,1,1,16,3,5,1
87,30,3,3,1,1,0,18,5,5,1
118,60,6,3,0,1,0,14,1,6,1
91,56,7,5,0,0,0,16,3,6,1
95,31,8,1,0,1,1,19,1,4,1
84,38,3,2,0,0,0,5,3,3,1
74,55,6,6,0,0,1,9,1,6,1
91,32,6,5,1,0,0,6,3,3,1
84,36,5,4,1,0,1,11,5,3,1
94,34,7,4,1,0,1,6,5,2,1
97,47,7,6,0,0,1,12,5,4,1
114,50,6,1,1,1,0,7,2,4,1
116,45,5,6,1,0,1,9,5,4,1
66,35,6,3,1,0,1,14,5,2,1
85,56,5,6,0,1,0,13,2,5,1
62,41,5,3,0,0,0,8,2,5,1
64,49,8,3,0,1,1,17,1,3,1
90,44,7,3,0,1,0,13,5,3,1
100,53,5,6,1,1,1,6,2,4,1
91,31,7,4,1,1,1,16,3,2,1
112,33,4,4,0,0,1,15,1,2,1
112,52,5,6,1,0,1,20,5,2,1
65,36,4,3,1,0,0,16,1,3,1
120,32,8,2,0,1,0,5,4,2,1
82,44,8,4,1,1,0,9,3,6,1
77,43,3,4,0,0,1,15,1,3,1
76,57,5,4,0,0,1,19,3,4,1
65,41,4,1,1,1,1,19,5,4,1
118,45,8,4,1,0,0,10,2,4,1
109,41,5,1,0,0,0,9,3,5,1
72,54,7,2,0,1,1,15,4,6,1
82,57,7,4,0,1,1,20,5,3,1
85,41,7,6,1,0,1,10,2,6,1
108,56,3,4,0,0,0,7,4,6,1
118,40,8,4,1,0,0,19,2,4,1
117,30,7,6,0,0,0,14,3,5,1
107,59,3,3,0,1,0,15,1,6,1
109,38,7,2,1,0,1,9,5,3,1
118,57,5,3,0,1,1,9,4,4,1
118,36,5,2,0,0,0,19,4,2,1
92,30,4,2,0,0,0,19,4,4,1
82,52,5,4,1,0,0,6,5,4,1
85,40,8,5,0,0,1,14,1,4,1
69,57,3,1,1,1,0,17,3,6,1
